潮汕,#genre#
潮州综合,http://time-vod-qhlive.sobeylive.com/czbtv2019/czzhpd.m3u8
潮州民生,http://time-vod-qhlive.sobeylive.com/czbtv2019/czggpd.m3u8
汕头新闻综合,http://php.jdshipin.com:8880/PLTV/iptv.php?id=stzh
揭阳综合,http://113.100.72.40:8899/udp/239.77.0.229:5146
揭阳公共,http://113.100.72.40:8899/udp/239.77.0.251:5146
汕头新闻综合,http://113.100.72.40:8899/udp/239.77.1.130:5146
汕头新闻综合,http://113.100.72.40:8899/udp/239.253.43.45:5146
汕头经济生活,http://113.100.72.40:8899/udp/239.77.1.131:5146
汕头经济生活,http://113.100.72.40:8899/udp/239.253.43.46:5146
汕头文旅体育,http://113.100.72.40:8899/udp/239.77.1.132:5146
汕头文旅体育,http://113.100.72.40:8899/udp/239.253.43.47:5146
汕尾新闻,http://113.100.72.40:8899/udp/239.77.0.25:5146
汕尾文化,http://113.100.72.40:8899/udp/239.77.0.187:5146
汕头新闻综合,https://stqznews.top/tv/live/stzhbq.php
广东,#genre#
广东卫视,http://113.100.72.40:8899/udp/239.77.1.19:5146
广东卫视,http://113.100.72.40:8899/udp/239.77.1.152:5146
广东卫视,http://113.100.72.40:8899/udp/239.77.0.84:5146
广东卫视超清,http://113.100.72.40:8899/udp/239.77.0.166:5146
南方卫视,http://113.100.72.40:8899/udp/239.77.0.215:5146
南方卫视,http://113.100.72.40:8899/udp/239.77.0.9:5146
南方卫视,http://113.100.72.40:8899/udp/239.77.1.12:5146
广东珠江,http://113.100.72.40:8899/udp/239.77.0.1:5146
广东珠江超清,http://113.100.72.40:8899/udp/239.77.0.114:5146
广东新闻,http://113.100.72.40:8899/udp/239.77.0.173:5146
广东新闻,http://113.100.72.40:8899/udp/239.77.0.4:5146
广东公共,http://113.100.72.40:8899/udp/239.77.0.225:5146
广东公共,http://113.100.72.40:8899/udp/239.77.0.5:5146
广东体育（深圳）,http://113.100.72.40:8899/udp/239.77.1.97:5146
广东体育-测试,http://113.100.72.40:8899/udp/239.77.0.112:5146
广东体育超清,http://113.100.72.40:8899/udp/239.77.0.168:5146
广东体育,http://113.100.72.40:8899/udp/239.77.0.6:5146
